index,diff
1,10.651422625
2,7.098389416
3,5.878821208
4,7.875952417
6,6.684478208
7,8.489047792
8,6.146119459
9,8.365113166
10,6.775390792
11,8.157076625
12,7.244836125
13,8.725859792
14,7.546378083
15,5.647501625
17,7.649205292
18,7.181777959
19,7.357390833
20,5.811511125
21,7.822456375
22,8.630543250
23,6.347571208
24,6.112987250
25,7.566535792
26,12.046594333
27,6.476121750
28,5.518594791
29,7.778441000
30,9.479462458
31,7.33349075
32,12.577326333
33,5.902341792
34,7.090505042
35,8.511957792
36,11.720860333
37,6.314882459
38,12.297880417
39,7.758591209
40,6.313789083
41,10.887498167
42,8.478956042
43,7.848431458
44,8.050232000
45,9.400834833
46,9.291353542
47,9.510421500
48,11.074810584
49,8.580909209
50,8.176062666
51,8.573079166
52,7.645350708
53,7.645772417
54,5.948531459
55,5.922242875
56,7.124126208
57,6.889139792
58,6.761821791
59,7.750169875
60,7.947283875
61,7.51584550
62,6.988805916
63,7.482885834
64,6.808430125
65,6.284844834
66,11.068008291
67,6.360279625
68,8.718957250
69,9.345852208
70,17.373993334
71,8.995604667
72,6.160942166
73,7.906070958
74,6.968480542
75,7.982018750
76,6.037901458
77,7.145494041
78,5.724895958
79,5.914599417
80,6.435522666
81,6.078803125
82,13.323068000
83,5.640367541
84,10.148713083
85,6.836732875
86,6.551172416
87,7.516352291
88,6.373070625
89,8.124527958
90,8.772318250
91,13.207384833
92,6.877645458
93,7.841001417
94,6.166241875
95,10.984461500
96,6.236650208
97,8.57101875
98,14.839464917
99,9.422784833
100,5.598467083
